Name,Address,Website,Type,Awards offered,Campus setting,Campus housing,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate,Cohort Year *,Net Price **,Largest Program,IPEDS ID,OPE ID
Bellus Academy,"1130 Westloop Place, Manhattan, Kansas 66502-2838",www.bellusacademy.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Two but less than 4 years certificate,City: Small,No,203,203,71%,NA,Fall 2019,"$23,409",Aesthetician/Esthetician and Skin Care Specialist,478953,02343401
Bellus Academy-Chula Vista,"970 Broadway, Suite 110, Chula Vista, California 91911",www.bellusacademy.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Two but less than 4 years certificate,City: Large,No,398,398,42%,NA,Fall 2019,"$18,866",Aesthetician/Esthetician and Skin Care Specialist,109934,00705000
Bellus Academy-El Cajon,"1073 E Main St, El Cajon, California 92021",www.bellusacademy.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Two but less than 4 years certificate,Suburb: Large,No,187,187,68%,NA,Fall 2019,"$17,540",Aesthetician/Esthetician and Skin Care Specialist,116563,01202600
Bellus Academy-Poway,"13266 Poway Rd, Poway, California 92064",www.bellusacademy.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Two but less than 4 years certificate,City: Small,No,436,436,68%,5%,Fall 2019,"$28,580",Master Aesthetician/Esthetician,377722,02343400
Bel-Rea Institute of Animal Technology,"1681 S Dayton St, Denver, Colorado 80247",www.belrea.edu/,"2-year, Private for-profit",Associate's degree,Suburb: Large,No,205,205,58%,19%,Fall 2019,"$23,968",-,126359,01267000
Bene's Career Academy,"7027 US Highway 19, New Port Richey, Florida 34652",https://www.benes.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,244,244,24%,NA,2019-20,"$22,505","Cosmetology/Cosmetologist, General",137591,03018500
Bennett Career Institute,"700 Monroe Street N.E., Washington, District of Columbia 20017",www.bennettcareerinstitute.org/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,205,205,47%,3%,2019-20,"$11,064","Cosmetology/Cosmetologist, General",439473,03409600
Berk Trade and Business School,"33-09 Queens Boulevard, Long Island City, New York 11101-8120",www.berktradeschool.com/,"< 2-year, Private for-profit",Less than one year certificate,City: Large,No,122,122,90%,NA,2019-20,"$16,534","Electrical and Power Transmission Installation/Installer, General",189219,01183000
Berkeley College-New York,"3 East 43 Street, New York, New York 10017",https://berkeleycollege.edu/,"4-year, Private for-profit",Associate's degree;Bachelor's degree;Master's degree,City: Large,No,1882,1818,35%,23%,Fall 2016,"$23,301",-,189228,00739400
Berkeley College-Woodland Park,"44 Rifle Camp Rd, Woodland Park, New Jersey 07424",https://berkeleycollege.edu/,"4-year, Private for-profit",One but less than two years certificate;Associate's degree;Bachelor's degree;Master's degree,Suburb: Large,No,2078,1944,44%,18%,Fall 2016,"$17,068",-,183789,00750200
Berkowits School of Electrolysis,"107-25 Metropolitan Avenue, Forest Hills, New York 11375-6820",estheticsschoolny.com/,"< 2-year, Private for-profit",Less than one year certificate,City: Large,No,110,110,90%,NA,2019-20,NA,Electrolysis/Electrology and Electrolysis Technician,189255,04273200
Best Care College,"68 South Harrison, East Orange, New Jersey 07018-1703",bestcarecollege.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree,Suburb: Large,No,25,25,51%,NA,Fall 2019,NA,Nursing Assistant/Aide and Patient Care Assistant/Aide,461865,04181400
Beverly Hills Design Institute,"8484 Wilshire Blvd Suite #730, Beverly Hills, California 90211",https://www.bhdi.edu/,"4-year, primarily associate's, Private for-profit",Associate's degree;Bachelor's degree,Suburb: Large,No,20,20,0%,50%,Fall 2016,NA,-,475635,04185500
Beyond 21st Century Beauty Academy,"13640 Imperial Hwy Ste 6-8, Santa Fe Springs, California 90670",beyondcosmo.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,122,122,60%,NA,2019-20,NA,"Cosmetology/Cosmetologist, General",457253,04148200
Beyond Measure Barbering Institute,"Center Street Plaza, Mebane, North Carolina 27302-2323",www.beyondmeasurebarbering.com/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Midsize,No,61,61,75%,NA,2019-20,"$11,909",Barbering/Barber,484020,04228400
BJ's Beauty & Barber College,"5239 S Tacoma Way, Tacoma, Washington 98409",www.bjsbeautyandbarbercollege.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,,,NA,NA,2019-20,NA,Barbering/Barber,236018,02541900
BK Cosmo College of Cosmetology,"320 W. Water Street Suite E, Kerrville, Texas 78028-4312",www.bkcosmo.com/,"< 2-year, Private for-profit",One but less than two years certificate,Town: Remote,No,38,38,33%,NA,2019-20,"$20,092","Cosmetology/Cosmetologist, General",224013,02058600
Blades School of Hair Design,"22576-316 MacArthur Blvd, California, Maryland 20619",bladesschoolofhairdesign.net/,"< 2-year, Private for-profit",One but less than two years certificate,City: Small,No,28,28,59%,NA,2019-20,"$14,298","Cosmetology/Cosmetologist, General",366438,03027200
Blake Austin College,"611 Orange Dr Ste K, Vacaville, California 95687",www.blakeaustincollege.edu/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Small,No,18,18,88%,NA,2019-20,"$26,040",Licensed Practical/Vocational Nurse Training,447810,04003300
Blalock's Professional Beauty College,"8101 Kingston Rd Ste 103, Shreveport, Louisiana 71108-5745",blalockbeauty.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,26,26,81%,NA,2019-20,"$19,006","Cosmetology/Cosmetologist, General",373456,03027300
Blue Cliff Career College,"2970 Cottage Hill Rd., Suite 175, Mobile, Alabama 36606",www.blue.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,37,37,76%,NA,2019-20,"$17,321",Aesthetician/Esthetician and Skin Care Specialist,444440,03783300
Blue Cliff College,"4436 Veterans Memorial Boulevard, Metairie, Louisiana 70006-0000",www.bluecliffcollege.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree;Two but less than 4 years certificate,City: Midsize,No,,,NA,NA,Fall 2019,NA,"Cosmetology/Cosmetologist, General",43482101,03294302
Blue Cliff College-Alexandria,"1505 Metro Dr Ste 1, Alexandria, Louisiana 71301",bluecliffcollege.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree,City: Small,No,533,533,39%,NA,Fall 2019,"$24,522",Medical/Clinical Assistant,450128,03294304
Blue Cliff College-Fayetteville,"3448 N. College, Fayetteville, Arkansas 72703",bluecliffcollege.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Small,No,,,36%,NA,2019-20,"$29,372",Medical/Clinical Assistant,450119,03294308
Blue Cliff College-Gulfport,"12251 Bernard Pkwy, Gulfport, Mississippi 39503",bluecliffcollege.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Small,No,352,352,19%,NA,2019-20,"$25,997",Medical/Clinical Assistant,441502,03294305
Blue Cliff College-Houma,"803 Barrow St, Houma, Louisiana 70360",bluecliffcollege.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Small,No,,,38%,NA,2019-20,"$25,946",Medical/Clinical Assistant,450021,
Blue Cliff College-Lafayette,"120 James Comeaux Rd., Lafayette, Louisiana 70508",bluecliffcollege.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Two but less than 4 years certificate,City: Midsize,No,245,245,44%,NA,Fall 2019,"$21,080","Cosmetology/Cosmetologist, General",439491,03294303
Blue Cliff College-Metairie,"3200 Cleary Ave, Metairie, Louisiana 70002-5714",www.bluecliffcollege.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree;Two but less than 4 years certificate,City: Midsize,No,588,588,44%,NA,Fall 2019,"$24,565",Medical/Clinical Assistant,434821,03294300
Boca Beauty Academy,"7820 Glades Road suite 175, Boca Raton, Florida 33434-4178",www.bocabeautyacademy.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,111,111,89%,NA,2019-20,"$20,829",Master Aesthetician/Esthetician,481483,04217800
Boca Beauty Academy-Parkland,"7271 North State Road 7, Parkland, Florida 33073-4526",www.bocabeautyacademy.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,75,75,79%,NA,2019-20,"$14,671","Cosmetology and Related Personal Grooming Arts, Other",489238,04217801
Body Wisdom Massage Therapy School,"8401 Douglas Avenue, Ste 2, Urbandale, Iowa 50322-2903",www.bodywisdomschool.com/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,43,43,NA,NA,2019-20,"$39,631",Massage Therapy/Therapeutic Massage,496690,04292400
Boise Barber College,"7709 W. Overland Rd. 100, Boise, Idaho 83709",boisebarbercollege.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Midsize,No,82,82,44%,NA,2019-20,"$14,709",Barbering/Barber,476850,04203200
Bonnie Joseph Academy of Cosmetology & Barbering,"55 East center Street, STE 120, Heber City, Utah 84032-2044",bonniejosephacademy.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Town: Distant,No,15,15,86%,14%,2019-20,"$7,112","Cosmetology/Cosmetologist, General",481456,04216800
Borner's Barber College,"8913 S Western Ave, Los Angeles, California 90047",www.bornersbarbercollege.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,38,38,50%,NA,2019-20,"$25,375",Barbering/Barber,454759,04137200
Bos-Man's Barber College,"2724 W. 70th Street, Shreveport, Louisiana 71108",www.bosmansbarbercollege.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,33,33,64%,NA,2019-20,"$12,922",Barbering/Barber,483948,04226000
Brand College,"529 Hahn Ave Ste 101, Glendale, California 91203",brandcollege.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,21,21,100%,NA,2019-20,NA,Information Technology,479992,04194600
Branford Academy of Hair & Cosmetology-Bridgeport,"1450 Barnum Avenue, Bridgeport, Connecticut 06610-3239",https://branfordacademy.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,35,35,NA,NA,2019-20,"$23,879",Aesthetician/Esthetician and Skin Care Specialist,496894,04128801
Branford Academy of Hair and Cosmetology,"251 West Main St, Branford, Connecticut 06405",www.branfordacademy.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,15,15,83%,NA,2019-20,"$7,008",Aesthetician/Esthetician and Skin Care Specialist,451042,04128800
Bridges Beauty College,"16515 Mojave Drive, Victorville, California 92395-3821",www.bridgesbeautycollege.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,86,86,47%,NA,2019-20,"$15,584","Cosmetology/Cosmetologist, General",125082,02128200
Brighton Institute of Cosmetology,"10543 Citation Drive, Brighton, Michigan 48116-8360",www.brightoninstitute.net/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Midsize,No,47,47,90%,NA,2019-20,NA,Aesthetician/Esthetician and Skin Care Specialist,477002,04211200
Brittany Beauty Academy,"3274 Hempstead Turnpike, Levittown, New York 11756-1345",https://brittanyacademy.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,149,149,83%,NA,2019-20,"$21,301","Cosmetology/Cosmetologist, General",189468,00928400
Brittany Beauty Academy,"375 86th Street, Brooklyn, New York 11209",brittanyacademy.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,137,137,75%,NA,2019-20,"$19,910",Aesthetician/Esthetician and Skin Care Specialist,189404,02105900
Brittany Beauty Academy,"210 East 188th St, Bronx, New York 10458",https://brittanyacademy.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,139,139,40%,NA,2019-20,"$21,548",Aesthetician/Esthetician and Skin Care Specialist,449311,00928401
Broadview College,"1902 W 7800 S, West Jordan, Utah 84088",https://www.broadview.edu/,"4-year, primarily associate's, Private for-profit",Associate's degree;Bachelor's degree,Suburb: Large,No,,,NA,NA,Fall 2016,NA,-,230056,
Broken Arrow Beauty College,"11122 E 71st St, Tulsa, Oklahoma 74133",www.babeautycollege.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,56,56,89%,NA,2019-20,"$6,147","Cosmetology/Cosmetologist, General",448424,02256200
Brookline College-Albuquerque,"4201 Central Ave NW-Ste J, Albuquerque, New Mexico 87105",www.brooklinecollege.edu/,"4-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree;Bachelor's degree,City: Large,No,528,528,64%,2%,Fall 2016,"$36,485",Registered Nursing/Registered Nurse,444088,02218808
Brookline College-Phoenix,"2445 W. Dunlap Ave., Ste. 100, Phoenix, Arizona 85021",www.brooklinecollege.edu/,"4-year, primarily associate's, Private for-profit",Less than one year certificate;Associate's degree;Bachelor's degree;Master's degree,City: Large,No,888,841,57%,NA,Fall 2016,"$37,807",Registered Nursing/Registered Nurse,104090,02218800
Brookline College-Tempe,"1140-1150 S. Priest Drive, Tempe, Arizona 85281",brooklinecollege.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree,City: Midsize,No,269,269,61%,3%,Fall 2019,"$25,350",Surgical Technology/Technologist,404055,02218804
Brookline College-Tucson,"300 S. Craycroft Rd Suite 100, Tucson, Arizona 85711",www.brooklinecollege.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree,City: Large,No,230,230,55%,NA,Fall 2019,"$20,997",Surgical Technology/Technologist,438179,02218805
Brown Aveda Institute-Mentor,"8816 Mentor Ave, Mentor, Ohio 44060",www.brownaveda.com/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Two but less than 4 years certificate,Suburb: Large,No,124,124,73%,NA,Fall 2019,"$15,463","Cosmetology/Cosmetologist, General",441645,03626300
Brown Aveda Institute-Strongsville,"17901 Southpark Center - Space 160, Strongsville, Ohio 44136",www.brownaveda.com/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Two but less than 4 years certificate,Suburb: Large,No,136,136,71%,NA,Fall 2019,"$16,996","Cosmetology/Cosmetologist, General",450395,03626301
Brown Beauty Barber School,"1724 1st Avenue North, Bessemer, Alabama 35020-5016",brownbeautybarberschool.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,37,37,75%,NA,2019-20,"$17,202","Cosmetology/Cosmetologist, General",491695,04267900
Brownson Technical School,"1110 Technology Cir Ste D, Anaheim, California 92805",https://brownson.edu/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,264,264,87%,NA,2019-20,"$31,779","Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician",110194,02543400
Bryan University,"4255 S Nature Center Way, Springfield, Missouri 65804",www.bryanu.edu/,"4-year, primarily associate's, Private for-profit",One but less than two years certificate;Associate's degree;Bachelor's degree;Master's degree,City: Midsize,No,135,127,69%,NA,Fall 2016,"$20,210",-,369516,03066300
Bryan University,"350 W Washington St, Tempe, Arizona 85281",bryanuniversity.edu/,"4-year, primarily associate's, Private for-profit",One but less than two years certificate;Associate's degree;Bachelor's degree;Master's degree,City: Midsize,No,1767,1767,33%,1%,Fall 2016,"$17,764",-,110219,00716400
Buckner Barber School,"1515 South Buckner Boulevard, Suite 147, Dallas, Texas 75217-1775",bucknerbarberschool.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,30,30,70%,NA,2019-20,"$22,418",Barbering/Barber,461740,04177900
Bucks County School of Beauty Culture Inc,"1761 Bustleton Pike, Feasterville, Pennsylvania 19053-7368",www.bcsbc.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,98,98,85%,NA,2019-20,"$14,113","Cosmetology/Cosmetologist, General",211316,02270500
Bull City Durham Beauty and Barber College,"931 E Main St, Durham, North Carolina 27701",www.bullcitybarbercollege.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,9,9,63%,NA,2019-20,"$11,090",Barbering/Barber,490948,04179901
B-Unique Beauty and Barber Academy,"10 Liberty Lane, Greenville, South Carolina 29607-2314",bubba-online.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Small,No,12,12,44%,56%,2019-20,"$4,309",Barbering/Barber,487898,04239000
Burrell College of Osteopathic Medicine,"3501 Arrowhead Drive, Las Cruces, New Mexico 88001",https://burrell.edu/,"4-year, Private for-profit",Doctor's degree - professional practice,Suburb: Midsize,Yes,662,,NA,NA,Fall 2016,NA,-,488554,04259300
Butler Beauty Academy,"233 S Main St, Butler, Pennsylvania 16001",beautyacademies.net/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Town: Fringe,No,30,30,75%,NA,2019-20,"$10,214","Cosmetology/Cosmetologist, General",211334,02544300
Butler Beauty Academy-Kittanning Beauty Academy,"120 Market St, Kittanning, Pennsylvania 16201",beautyacademies.net/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Town: Distant,No,31,31,81%,NA,2019-20,"$9,922","Cosmetology/Cosmetologist, General",213330,02544302
Butler Beauty Academy-New Castle Beauty Academy,"314 E Washington St, New Castle, Pennsylvania 16101",beautyacademies.net/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Town: Fringe,No,42,42,52%,NA,2019-20,"$8,985","Cosmetology/Cosmetologist, General",367431,02544303
Butte Academy of Beauty Culture,"303 W Park St, Butte, Montana 59701",butteacademyofbeauty.ipage.com/,"< 2-year, Private for-profit",One but less than two years certificate,Town: Remote,No,37,37,63%,NA,2019-20,"$8,650","Cosmetology/Cosmetologist, General",180063,00790000
Cadillac Institute of Cosmetology,"205 North Mitchell Street, Cadillac, Michigan 49601-1800",instituteofcos.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Town: Remote,No,46,46,0%,NA,2019-20,"$17,648","Cosmetology/Cosmetologist, General",421665,03109700
CALC Institute of Technology,"200A North Center Dr, Alton, Illinois 62002",calc.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Small,No,61,61,100%,NA,2019-20,NA,Medical/Clinical Assistant,446084,03914300
California Aeronautical University,"1450 Boughton Drive, Bakersfield, California 93308",www.calaero.edu/,"4-year, Private for-profit",One but less than two years certificate;Associate's degree;Bachelor's degree;Master's degree,Suburb: Large,Yes,333,330,32%,NA,Fall 2016,"$39,416",-,433420,00998900
California Barber and Beauty College,"5315 El Cajon Boulevard, San Diego, California 92115-4730",https://www.californiabarberandbeauty.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,71,71,80%,NA,2019-20,"$8,814",Barbering/Barber,486497,04237800
California Beauty School,"1115 15th St, Modesto, California 95354",www.calbeautycollege.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,55,55,94%,NA,2019-20,"$8,633",Aesthetician/Esthetician and Skin Care Specialist,110875,02065700
California Career College,"7003 Owensmouth Avenue, Canoga Park, California 91303-2006",www.californiacareercollege.edu/,"2-year, Private for-profit",One but less than two years certificate;Associate's degree,City: Large,No,150,150,89%,NA,Fall 2019,NA,Registered Nursing/Registered Nurse,447713,03974500
California Career Institute,"1240 S State College BLVD Ste. 150, Anaheim, California 92806",www.calinstitute.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree,City: Large,No,339,339,NA,NA,Fall 2019,NA,Licensed Practical/Vocational Nurse Training,481386,04215100
California College of Barbering and Cosmetology,"1024 E March Lane, Stockton, California 95210",calcbc.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,246,246,50%,NA,2019-20,"$12,524",Aesthetician/Esthetician and Skin Care Specialist,492661,04277700
California College of Music,"42 South Catalina Avenue, Pasadena, California 91106-2403",https://ccmla.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree,City: Midsize,No,19,19,100%,NA,Fall 2019,"$31,363",-,488563,04293000
California Hair Design Academy,"8011 University Avenue, Suite A-2, La Mesa, California 91942-5055",https://chdaschools.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,144,144,81%,NA,2019-20,"$24,870","Cosmetology/Cosmetologist, General",111054,01186500
California Healing Arts College,"500 East Carson Plaza Drive, Suite 103, Carson, California 90746-7323",www.chac.edu/,"< 2-year, Private for-profit",Less than one year certificate,City: Small,No,263,263,72%,NA,2019-20,"$14,552","Veterinary Sciences/Veterinary Clinical Sciences, General",442985,03681300
California Health Sciences University,"120 North Clovis Avenue, Clovis, California 93612",https://chsu.edu/,"4-year, Private for-profit",Doctor's degree - professional practice,Suburb: Large,No,391,,NA,NA,Fall 2016,NA,-,488572,04281400
California Institute of Arts & Technology,"2820 Camino Del Rio South Suite 100, San Diego, California 92108-3822",www.ciat.edu/,"4-year, primarily associate's, Private for-profit",Less than one year certificate;Associate's degree;Bachelor's degree,City: Large,No,356,356,58%,NA,Fall 2016,"$34,817",-,490285,04259800
California Institute of Arts & Technology-National City,"401 Mile of Cars Way Suite 100, National City, California 91950-6610",https://www.ciat.edu/,"4-year, primarily associate's, Private for-profit",Less than one year certificate;Associate's degree;Bachelor's degree,Suburb: Large,No,166,166,NA,NA,Fall 2016,"$22,333",-,496186,04259801
California Institute of Medical Science,"1175 Shaw Avenue # 103, Clovis, California 93612-0000",cims.edu/,"< 2-year, Private for-profit",Less than one year certificate,Suburb: Large,No,10,10,4%,NA,2019-20,"$28,875",Clinical/Medical Laboratory Assistant,491507,04246200
California Intercontinental University,"2601 Main Street, Suite 250, Irvine, California 92614",https://www.caluniversity.edu/,"4-year, Private for-profit",Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship,City: Large,No,506,155,NA,NA,Fall 2016,NA,-,485546,04244000
California Miramar University,"3550 Camino Del Rio North, Suite 208, San Diego, California 92108-1739",www.calmu.edu/,"4-year, Private for-profit",Associate's degree;Bachelor's degree;Master's degree;Doctor's degree - research/scholarship,City: Large,No,216,99,30%,10%,Fall 2016,"$10,207",-,480781,04189700
California Northstate University,"9700 West Taron Drive, Elk Grove, California 95757-3001",www.cnsu.edu/,"4-year, Private for-profit",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - professional practice,Suburb: Large,No,962,146,76%,NA,Fall 2016,"$68,994",-,496627,04219800
California Nurses Educational Institute,"5200 E. Ramon Rd. Suite I-1, Palm Springs, California 92264",https://www.cnei.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Two but less than 4 years certificate,Suburb: Large,No,205,205,85%,NA,Fall 2019,"$19,930",Licensed Practical/Vocational Nurse Training,455734,03935300
Cambridge College of Healthcare & Technology,"5669 Peachtree Dunwoody Road. #100, Atlanta, Georgia 30342-1731",www.cambridgehealth.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree,City: Midsize,No,,,NA,NA,Fall 2019,NA,-,45486501,04083401
Cambridge College of Healthcare & Technology,"460 E. Altamonte Drive, 3rd Floor, Altamonte Springs, Florida 32701",www.cambridgehealth.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree,Suburb: Large,No,294,294,63%,NA,Fall 2019,"$19,071",-,446109,03842500
Cambridge College of Healthcare & Technology,"5150 Linton Blvd, Suite 340, Delray Beach, Florida 33484",www.cambridgehealth.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree,City: Small,No,939,939,48%,NA,Fall 2019,"$16,309",-,454865,04083400
Cambridge Technical Institute,"Urb. Bonneville Terrace A-16 Ave. Degetau, Caguas, Puerto Rico 00705",www.cti.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Small,No,,,87%,NA,2019-20,"$13,355","Cosmetology/Cosmetologist, General",444264,03785300
Cameo Beauty Academy,"9714 S Cicero Ave., Oak Lawn, Illinois 60453",www.cameobeautyacademy.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,100,100,33%,NA,2019-20,"$13,701","Cosmetology/Cosmetologist, General",143464,03078400
Cameo College of Essential Beauty,"124 East 5770 South, Murray, Utah 84107",www.cameocollege.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,298,298,58%,NA,2019-20,NA,Nail Technician/Specialist and Manicurist,230065,03921300
Cannella School of Hair Design-Chicago,"4269 S Archer Ave, Chicago, Illinois 60632-2549",cannellaschool.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,39,39,67%,NA,2019-20,"$10,402","Cosmetology/Cosmetologist, General",143491,02349500
Cannella School of Hair Design-Chicago,"9012 S Commercial, Chicago, Illinois 60617-4303",cannellaschool.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,29,29,58%,NA,2019-20,"$9,980","Cosmetology/Cosmetologist, General",143482,00959500
Cannella School of Hair Design-Villa Park,"617 W. NORTH, Villa Park, Illinois 60181",cannellaschool.com/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,31,31,83%,NA,2019-20,"$7,581","Cosmetology/Cosmetologist, General",143473,02202600
Capella University,"225 South 6th Street, 9th Floor, Minneapolis, Minnesota 55402-3389",www.capella.edu/,"4-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship,City: Large,No,39727,13280,0%,NA,Fall 2016,"$14,935",-,413413,03267300
Capilo School of Hair Design,"43 Bridge Street, Augusta, Maine 04330-0000",www.capilo.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Town: Distant,No,161,161,72%,NA,2019-20,"$17,423","Cosmetology/Cosmetologist, General",461704,04177400
Capitol Beauty School,"10803 John Galt Blvd., Omaha, Nebraska 68137-2325",https://www.hairschoolomaha.com/,"2-year, Private for-profit",Less than one year certificate;Two but less than 4 years certificate,City: Large,No,138,138,77%,NA,Fall 2019,"$12,203","Cosmetology/Cosmetologist, General",365693,00961700
Capri Beauty College,"1938 E Lincoln Hwy, New Lenox, Illinois 60451",capri.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,65,65,81%,6%,2019-20,"$14,289","Cosmetology/Cosmetologist, General",457031,01308801
Capri Beauty College,"15815 Rob Roy Dr, Oak Forest, Illinois 60452",capri.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,51,51,0%,NA,2019-20,"$14,324","Cosmetology/Cosmetologist, General",143552,01308800
Capri College-Cedar Rapids,"2945 Williams Parkway S.W., Cedar Rapids, Iowa 52404",www.capricollege.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Two but less than 4 years certificate,City: Midsize,No,142,142,71%,NA,Fall 2019,"$9,945","Cosmetology/Cosmetologist, General",153083,02090300
Capri College-Davenport,"2540 E. 53rd Street, Davenport, Iowa 52807-3003",www.capricollege.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Two but less than 4 years certificate,City: Midsize,No,146,146,69%,NA,Fall 2019,"$10,280","Cosmetology/Cosmetologist, General",154448,00771700
Capri College-Dubuque,"395 Main St, Dubuque, Iowa 52004-0873",www.capricollege.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Two but less than 4 years certificate,City: Small,No,175,175,71%,NA,Fall 2019,"$11,114","Cosmetology/Cosmetologist, General",153074,00758800
